"시도교육청","교육지원청","지역","정보공시 학교코드","학교명","학교급코드","설립구분","제외여부","제외사유","1학년 학급수","1학년 학생수","1학년 학급당 학생수","2학년 학급수","2학년 학생수","2학년 학급당 학생수","3학년 학급수","3학년 학생수","3학년 학급당 학생수","4학년 학급수","4학년 학생수","4학년 학급당 학생수","5학년 학급수","5학년 학생수","5학년 학급당 학생수","6학년 학급수","6학년 학생수","6학년 학급당 학생수","특수학급 학급수","특수학급 학생수","특수학급 학급당 학생수","순회학급 학급수","순회학급 학생수","순회학급 학급당 학생수","학급수(계)","학생수(계)","학급당 학생수(계)","교사수","수업교원 1인당 학생수"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 강동구","S010000911","서울대명초등학교","02","공립","N","","5","128","25.6","5","126","25.2","5","128","25.6","6","140","23.3","6","159","26.5","7","176","25.1","2","10","5","0","0","0","36","867","24.1","46","18.8"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 강동구","S010000912","서울둔촌초등학교","02","공립","N","","4","108","27","3","77","25.7","4","107","26.8","6","131","21.8","5","117","23.4","5","127","25.4","1","3","3","0","0","0","28","670","23.9","35","19.1"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 송파구","S010000913","서울마천초등학교","02","공립","N","","7","210","30","7","181","25.9","7","181","25.9","7","191","27.3","8","195","24.4","8","209","26.1","2","13","6.5","0","0","0","46","1180","25.7","56","21.1"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 강동구","S010000914","서울명덕초등학교","02","공립","N","","7","222","31.7","7","197","28.1","5","153","30.6","7","189","27","7","180","25.7","7","198","28.3","1","7","7","0","0","0","41","1146","28","54","21.2"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 강동구","S010000915","서울명원초등학교","02","공립","N","","5","135","27","4","125","31.3","5","130","26","5","152","30.4","5","137","27.4","5","142","28.4","1","6","6","0","0","0","30","827","27.6","40","20.7"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 강동구","S010000916","서울명일초등학교","02","공립","N","","8","192","24","8","212","26.5","7","181","25.9","7","180","25.7","8","206","25.8","7","184","26.3","2","15","7.5","0","0","0","47","1170","24.9","56","20.9"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 강동구","S010000917","서울묘곡초등학교","02","공립","N","","5","132","26.4","5","114","22.8","6","144","24","6","138","23","5","129","25.8","5","118","23.6","1","5","5","0","0","0","33","780","23.6","42","18.6"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 송파구","S010000918","서울문덕초등학교","02","공립","N","","5","108","21.6","4","82","20.5","4","85","21.3","4","105","26.3","4","99","24.8","4","93","23.3","1","7","7","0","0","0","26","579","22.3","32","18.1"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 송파구","S010000919","서울문정초등학교","02","공립","N","","7","183","26.1","8","198","24.8","7","166","23.7","7","178","25.4","7","188","26.9","8","194","24.3","2","12","6","0","0","0","46","1119","24.3","58","19.3"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 송파구","S010000920","서울방산초등학교","02","공립","N","","5","116","23.2","5","113","22.6","4","91","22.8","5","115","23","6","143","23.8","6","157","26.2","0","0","0","0","0","0","31","735","23.7","43","17.1"
