통계표,지역별 경상수지,지역별 경상수지 지역코드,단위,변환,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
"2.5.1.4. 지역별 경상수지","  상품수지","  중남미","백만달러","원자료","4,869.8","5,017.8","5,286.2","4,554.7","5,883.1","7,490.8","8,381.9","12,040.5","16,481.8","12,990.8","16,108.9","15,517.1","14,854.4","13,243.5","15,358.2","12,745.6","8,615","6,786.6","6,308.6","2,905.5","-2,047.2","-3,507.2","-3,939","-2,234"
"2.5.1.4. 지역별 경상수지","  상품수지","  기타","백만달러","원자료","201.3","2,184.3","5,582.2","9,162.1","9,688.9","9,143.2","11,683.3","15,542.2","9,970.7","4,276","2,194","417.3","6,751.3","15,153.7","6,511.2","15,661.7","15,985.9","13,165.1","1,997.4","8,866.2","8,585.7","-10,313.7","-5,962.4","16,684.8"
"2.5.1.4. 지역별 경상수지","    가공서비스수지","총계","백만달러","원자료","878.4","306.4","267","339.7","-296","-586.7","-1,363.5","-2,069.6","-3,139.8","-4,463","-4,743.1","-7,249.6","-6,652.6","-5,707.9","-5,644","-6,095.5","-5,761.9","-6,955","-7,324.8","-7,611.2","-5,259.4","-6,123.4","-6,205.7","-6,792.5"
"2.5.1.4. 지역별 경상수지","    가공서비스수지","  미국","백만달러","원자료","850.1","451","460.5","581","688.1","828.4","795.3","554.5","532.3","420.5","551.1","509.6","485.5","397.3","332.4","189.6","268.3","217.8","183","61.7","107.6","68.4","107.2","109.5"
"2.5.1.4. 지역별 경상수지","    가공서비스수지","  중국","백만달러","원자료","-418.7","-436","-426.5","-602.1","-1,176.8","-1,890.8","-2,583.3","-3,230.7","-3,874.8","-4,760","-5,223.6","-6,611","-6,397.7","-5,727.3","-5,730.6","-5,721.5","-5,653.8","-6,401.5","-7,060.1","-6,721.1","-5,368.8","-5,408.4","-5,389.8","-5,668.8"
"2.5.1.4. 지역별 경상수지","    가공서비스수지","  일본","백만달러","원자료","146.7","168.7","184.6","213.1","164.9","302.3","339.6","504","356.8","290.3","327.2","237.4","339.6","428.2","689.6","357.7","366.3","372.4","498.3","366","352.9","284.9","417.6","364.4"
"2.5.1.4. 지역별 경상수지","    가공서비스수지","  EU","백만달러","원자료","247.8","132.5","94.8","97.3","121.6","110.1","107","-12.7","-278.5","-414.8","-299.9","-618.5","-362.8","-126.9","-34","57.4","79.3","73","112.5","156.5","111.8","68.5","85.8","57.8"
"2.5.1.4. 지역별 경상수지","    가공서비스수지","  동남아","백만달러","원자료","125.1","70.9","40.6","102.8","60.2","123.1","58.7","116","94.3","-10.9","-84.7","-679","-639.7","-598.7","-773","-774.9","-723.7","-1,160.6","-1,032.6","-1,368.3","-389","-1,078.5","-1,328.7","-1,603.1"
"2.5.1.4. 지역별 경상수지","    가공서비스수지","  중동","백만달러","원자료","19.5","9.9","10.3","16.4","18.4","34.3","29.5","62.8","66.4","68.5","41.2","17","12.4","32","10.9","-10.8","3.5","4.1","13.4","9.5","6.9","-2.5","-2.9","1.2"
"2.5.1.4. 지역별 경상수지","    가공서비스수지","  중남미","백만달러","원자료","-60.5","-73.1","-71.3","-85.2","-126.1","-71.6","-91.7","-67.2","-56.3","-64.5","-43.9","-67.1","-69.8","-81.3","-86.7","-56.7","-46.5","-27.4","-33.7","-44.5","-46.3","-48.2","-39.8","-37"
"2.5.1.4. 지역별 경상수지","    가공서비스수지","  기타","백만달러","원자료","-31.6","-17.5","-26","16.4","-46.3","-22.5","-18.6","3.7","20","7.9","-10.5","-38","-20.1","-31.2","-52.6","-136.3","-55.3","-32.8","-5.6","-71","-34.5","-7.6","-55.1","-16.5"
"2.5.1.4. 지역별 경상수지","    운송수지","총계","백만달러","원자료","2,299.6","1,735","1,474.8","3,070.5","4,482.6","3,172.5","2,152.3","3,975.5","7,508.3","4,815.6","8,656.7","6,331.6","10,131.4","7,340.6","6,193.9","4,650.9","-1,328.5","-5,418.4","-2,507.8","-1,734.3","1,096.8","12,875","13,096.7","-1,546.1"
"2.5.1.4. 지역별 경상수지","    운송수지","  미국","백만달러","원자료","-86","-94.1","-273.8","-200.7","855.4","1,110.7","-314","746.9","-565.4","-646","-675.1","-1,429.3","-263.7","-175.3","-47.6","-622.9","-1,490.2","-1,805.8","-178.3","-533.7","-243.8","1,950.2","3,360.2","988.6"
"2.5.1.4. 지역별 경상수지","    운송수지","  중국","백만달러","원자료","728.4","782.4","912.7","1,622.9","2,283.8","2,375.4","2,494","3,295.5","5,251.6","4,208.8","6,097.5","4,861.6","5,483.2","5,016","4,301.8","3,781.9","1,888.6","1,027","1,938.6","1,773.5","3,058","6,590.2","5,071.6","1,633.2"
"2.5.1.4. 지역별 경상수지","    운송수지","  일본","백만달러","원자료","-92.1","-15.6","-252","-63.5","-305.1","-412.2","-472.7","-28.6","284.4","53","919.8","1,635.5","2,108.2","1,071","596.9","421.9","269.3","12.7","765.9","899","-110.7","710","1,061","621.4"
"2.5.1.4. 지역별 경상수지","    운송수지","  EU","백만달러","원자료","6.9","-460.9","-442.8","-429.7","-1,004.5","-1,326.5","-1,809.2","-3,204.7","-3,861.1","-2,535.6","-2,791.8","-2,362","-1,793.3","-1,119.7","-697.2","-1,060.2","-1,644.1","-2,174.2","-2,478.5","-2,037.6","-502","-35.6","566.8","-721.9"
"2.5.1.4. 지역별 경상수지","    운송수지","  동남아","백만달러","원자료","961.5","822.1","889.2","1,120.4","1,521","962.9","1,347.8","604.4","1,675.6","1,605.9","1,812.3","1,885.2","3,339.3","1,761.2","1,701.6","1,320.5","277.8","-459.9","-100.8","36.6","607.3","4,592.4","3,750.9","-860.6"
"2.5.1.4. 지역별 경상수지","    운송수지","  중동","백만달러","원자료","-51.6","-113","-129.5","-131.9","19.2","-267.5","-746.2","-283.4","-346.4","-189.9","42.5","-832.3","-903.6","-1,453","-1,368.8","-685.1","-1,038.3","-1,629.7","-1,724.5","-1,477.1","-759.4","-1,041.7","-1,953.1","-2,134.3"
